	text
4469	suyu kamachiq sichus harkasqa huk punchawkuna utaq pasaq kawsaypaq kanman chayqa atinmi qatiqnin yaykuyta chay llamkayman mana atiptintaq chay iskay ñiqi suyu qatiqmi atillantaq
4471	sichus mana mayqinpas atimanchu chaytaqa rimana wasip kamachiqnin kanan
4474	chaymantapas kallantaqmi sapanchasqa runa allawkanmi kamachiyman kamachiy kamakunanpaq
4475	ichaqa pasaqpaq manaña suyu kamachiq kayta atinmanchu chaytaqa rimana wasipi kamachiqmi yapamanta waqanan suyu kamachiq aqllakunanpaq
4477	suyu kamachiq sichus hawa llaqtaman rimananpaqqa rimana wasip kamachisqanmi kanan chay puriynin qatiqnin churakun suyu kamachiypi
4479	hinaspa qatillantaqmi iskay ñiqin qatiqninpas
4481	pachak chunka suqtayuq ñiqin phakma
4483	rimana wasipim julio nisqa antasitwa killapi iskay chunka pusaqniyuq punchawpi suyu kamachiq apu kamaq sutinta huqarin llamkaynin qallarinanpaq
4485	pachak chunka qanchisniyuq ñiqin phakma
4487	suyu kamachiqqa atinmi huch'allisqa kayta suyuta awqasqa rayku
4489	suyu kakachiqpaq apullikunapaq llaqta kamaqup aqllayta tatichisqan rayku otaq rimana wasip llamk'ayninta qulluchisqan rayku ichaqa chay rurayta atillanmantaqmi hatun kamay pirwapi pachak kimsa chunka tawayuq ñiqin kamachisqanman hina
4491	hinallataq huñunakuyninkuta qulluchiptin utap tatichiyta munaptinpas hinaspa hinallataqmi hatun akllanapaq wasi rurayninta harkakuqta
4493	pachak chunka pusaqniyuq ñiqi patmi
4496	pachak pusaqniyuq ñiqin phakma
4497	suyu kamachiqpa rurayninmi
4499	huk hatun kamay pirwata apu simikunata kamachikunata hinaspa ima qillqakuna kachakusqankunatapas huntay hinaspa huntachiy
4501	iskay hawa llaqtakunapi suyuta huinaspa llaqta ukhupipas suyu rantinta sayanan
4503	kimsa suyu kawsayninta umalliy
4505	tawa suyup ukhunpi hinallataq hawa llaqtakunapi allin kawsayninta qhaway hawa llaqtakunap ñawpapi suyunchik hunt'asqa hap'inankupaq
4507	pichqa chiqllukuykunaman waqaynin suyu kamachiq aqllaypaq apullikuna aqllanapaqpas warayuqkuna hinaspapas warayuq yanapaqninkunata wakin kamayuqkunatapas ichaqa kamachiman hina aqllayninpaq
4509	suqta rimana wasipi apullikunata mayninpi huñunakuypaq waqanata qillqaspa
4511	qanchis rimana wasiman ima pacha anyakuypas may kawsaypipas pay kikin rimaspa qillqaspa ima ñawpaq ñiqin wata kamachikuna qallarichkaptin willay
4513	lliw umallikuna willasqanqa watantinpi suyu kawsayninmanta hinallataq umalliyninta huntaskusqanmantam imakuna tiqraymantapas suyunchik allin kawsayninpaq rimana wasi yachananpaq churay
4515	suyu kamachiqpa willakuyninqa ichaqa huk ñiqilllam hatun kamayuqninkunam chaskinanan
4518	kamachi chaskisqa hatun kamay pirwaman hinaqa apachikun suyu kamachiqman chunka pichqayuq p'unchawpi pay kikin kamachiyta qunanpaq
4519	pusaq apu kamachikuna hunt'akunapaq huch'uy kamachiy ruraynin ichaqa ama saruchaspa otaq tiqraspa hinaspa ñut'u kamachikunapas ruq'ay
4521	isqun hunt'anan hinaspa hunt'achinanpaq paqtay wasip hayratankunata kamachiyninkunata hunt'achiytapas
4523	chunka hunt'anan hinaspa hunt'achinanpaq suyu chiqllukuy wasi kamachisqanta
4525	chunka hukniyuq hawapi llaqtakunaman rimayninchikkunata purichiypas hinaspa allin kawsayninchikpaq rimay qillqakuna ruraspanpas
4527	chunka iskayniyuq hawa llaqtakunapi rantiqninchikkunata ichaqa hatun hachawanqu kamayuqkuna huñiyninwan hatun rimana wasiman willaspa
4529	chunka kimsayuq hawa llaqtakunap rantinta sayaq mitmakunata chaskiy hinallataq cónsul nisqakunata llamk'ayninku hunt'aypi
4531	chunka tawayuq umalliy suyuppa amachaqinta vallakuna kamachiytapas rakiytapas hinallataq awqanakunayuq kallpakuna llaqta tuqriy kamayuqkuna kachakuytapas
4533	chunka pichqayuq ima llaqtakuna suyunchikta kamaykuptinpas amachakuypas mana rakisqa nitaq t'aqasqapas kananpaq hinaspa taq kawsaynita maskhay suyup munayniyuq kawsayninta
4535	chunka suqtayuq hatun rimana wasip munanyninman maqanakuyman yaykuy hinallataq taq kay qillqaypas
4537	chunka qanchisniyuq llaqtap kaynin rikuy
4540	sichus suyu kamachiq mana qunmanchu chay kamachita chiyqa rimana wasipa kamachiqninmi otaq pasaq huch'uy huñunasqa apullikuna qunku chay kamachitaqa
4541	chunka pusaqniyuq qullqi mañakuykunapaq rimaynin
4543	chunka isqunniyuq utqhay apu kamachikuna quyta paku huch'uy hunt'anakuna kikin kamachi kallpawan kayninpi musikuy hinaspa qullqiwanllamkaymanta sichus suyup yuyayninpi kanman ichaqa rimana wasiman yachananpaq willaspa
4545	rimana wasi atintaqmi chay huch'uy kamachikunata hukniray rurayta otaq qulluchiyta
4547	iskay chunka kamachisqa chanin chaninchayta
4549	iskay chunka hukniyuq huch'ayuqkunata pampachay ñawpaqchana aullaukata huch'allisqakunapaq ruray ichaqa wapasqawan huch'a t'aqwiy nisyu iskaychasqa kaptin
4551	iskay chunka iskayniyuq suyup sutinpi sumay quyta ichaqa apusimi kamayuqkuna munayninpi
4553	iskay chunka kimsayuq perú suyu runankunata huk hawa suyukunapi valla kananpaq apillichiy
4555	iskay chunka tawayuq hatun kamay pirwappa huk apusimikunapaqpas kamachikusqanman hina kamachikuq kaynintapas kawsayninpaq hunt'ay
4559	hachawanqu kunawamanta
4562	sichus suyu kamachiq ima qhawaytapas rikun chay rimana wasipi kamachi qusqankuta chiyqa apachinmi chay mana allin rikusqanta rimana wasiman chunka pichqayuq punchaw ukhupi yapamanta kamachiy qillqasqanta rurananpaq
4563	pachak chunka isqunniyuq ñiqin phakma
4565	suyup kawsaynin hinaspa llaqtapaq llamk'ay purínchachiyqa hachawanqu kunawap makinpim hinaspa rurayninman hina sapanka hachawanquq makinpi
4567	pachak iskay chunkayuq ñiqin phakma
4569	suyu kamachiq rurayninqa qullun sichus hachawanqu munayninpi suti qillqanwan
4571	pachak iskay chunka hukniyuq ñiqin phakma
4573	hachawanqu kunawakanku hachawanqukunap huñunakuyninmi apusimi qillqan t'uqsin imayna kanankutapas imakuna rurayninkunatapas
4575	hachawanqu kunawaqa umalliqniyuqmi kanan
4577	suyu kamachiqmi umallin sichus pay rin huñunakuyninkuman chiyqa
4579	pachak iskay chunka iskayniyuq ñiqin phakma
4581	suyu kamachiqmi aqllaspa kamachanpas mithanpas hachawanqu camayptaqa hokap hachawanqukunatapas hachawanqu kamachiqtamañayninta uyaspa
4584	rimana wasi yapamanta kamachiy rurayninta kinkin kamachiqnin qillqaspa qun chay kamachiyta ichaqa yupaspa kuskan huk yapasqa apullikunap munayninpi
4585	pachak iskay chunka kimsayuq ñiqin phakma
4587	hachawanqu kamachiqmi atin mana hachawanqu kayta hinaspa rurayninmi
4589	huk kay suyu kamachiq k'ipa suyup rimaynin willaq ichaqa suyup kamachisqan
4591	iskay hokap hachawanquqkunap llamk'ayninta rikuy
4593	kimsa huch'uy kamachikuna utqhay ruraykunata hinaspa hatun kamay pirwaman hina hokap kamachiykunata kayninpaq suti qillqanta churay
4595	pachak iskay chunka tawayuq ñiqin phakma
4597	hachawanqu kanapaqqa perú suyupi paqariqmi kana iskay chunka hunt'asqa wata kawsayniyuq awqanakunayuq kallpakunap runan hinaspa tuqriy kakayuq runankunapas atinkum hachawanqu kayta
4599	pachak iskay chunka pichqayuq ñiqin phakma
4601	hachawanqup ruranankunam
4603	huk suyu kamachiq rimana wasip makinman manaraq apusimi kamachi churasqan huñichay
4608	kamachi hunt'achiq kallpawan rinakuymanta
4609	rimana wasim akllakunan ima punchaw ima pacha tupuykuna kutichiy apakunantapas kayqa manam kanamanchu nitaq akllakunmanchu kimsa punchaw qatiqnin punchaw ukupi nitaq chunka punchaw tukusqamanta qipa
4610	paqtachay kakayuqkunaqa llamk'asqanku rayku watapaq suyu qullqi chay llamk'aypaq qusllatapuni chaskinku hinaspa chay hatun yachay wasipi yachachisqankumanta hinaspapas huk qullqikunata kamachiman hina
4612	paqtachay kamayuqkunata suyu rantinkan
4614	huk munayniyuq kayninman ichaqa kasunnakun hatun kamay pirwa hinaspa kamachita
4616	iskay kamaquy kayninkupi ama kuyusqa kanankupaq
4618	manam munasqanpi huk llakayman astasqachu kanman
4620	kimsa mana kuyusqa kaynin rurayninpi ichaqa sumaq ch'uya kawsaynin llamk'aynin kana cama hinaspa
4622	tawa huk payllayta paqtachay kamayuq kayninman hinaspa tawa ñiqin llamk'aq kayniman hina
4624	pachak tawa chunka qanchisniyuq ñiqin phakma
4626	ancha hanaq wasi paqtay kaywayuq kanapami tuntanan
4628	huk perú suyupi paqarisqan kanan
4631	pachak kimsa chunka iskayniyuq ñiqin
4632	iskay hatun runa kana
4634	kimsa tawa chunka pichqayuq hunt'asqa watayuq kana
4636	tawa chunka wata hunt'a paqtachay wasipi kamayuq kay otaq chunka pichqayuq wata hunt'a amachaqi kaypi llamk'ay otaq hatun yachay wasipi yachachiy
4638	pachak tawa chunka pusaqniyuq ñiqin phakma
4640	mana allin kamachikunataqa wanachikunanpaq atikunmi paqtachay wasipi huch'allichiyta
4642	pachak tawa chunka isqunniyuq ñiqin phakma
4644	hawa llaqtakuna hinaspa kikin llaqtakunap kamachiqnin yuyup runa k'ikuqkuna yanapasqa atinku paqtachay rurayta ichaqa kikin llaqtankupi kawsayninkuman hinallapuni ichaqa ama saruchaspa runap kikin allawkanta
4646	kamachiymi kamachin imayna paqtachay rurakunanta hinaspa paqtachay huch'uy wasikuna kaynintapas
4648	isqun umalli
4650	suyu paqtachakuq kamayuqkuna huñunakuyninmanta
4653	rimana wasin llapan hachawanqu kunawata otaq mayqin sapanchasqa hachawanqup huch'anta tarispapas p'inqachin utap sinchichakuyninta qichukunanpaq chiqllunan sapappi sapankanapaq sinchichakuytaqa qichukun hachawanqu wasip mañakuywanmi
4654	pachak pichqa chunka ñiqin phakma
4656	suyu paqtachakuy kamayuqkuna huñunakuymi aqllan hinaspa churan paqtachay kamayuqkunata ichamá mana kikin llaqta runakunap aqllasqankuna
4658	suyu paqtachakuy kamayuqkunam qispiypi llamk'anku ichaqa ukhu kamachiyninman hina
4660	pachak pichqa chunka hukniyuq phakma
4662	paqtay kamayuq aqllana wasin paqtachay wasipim kan chay wasin yachachiy paqtay kamayuq llamkaynikupaq huch'uy paqtachay kasqanmanta hanaq paqtay kamayuq kayninku cama chayman hina aqllasqa kanankupaq
4664	huk huch'uy paqtachay kamayuq huk huk hatun paqtachayman wichayta munaspataqmi paqtachay kamayuq aqllana wasip yachachiyniman hina
4666	pachak pichqa chunka iskayniyuq ñiqin phakma
4668	pampa paqtachaqkunaqa llaqta runap munayninmá hina aqllasqan
4670	chay aqllaypaqmi mañakuykuna qhawakun paqtay kamayuq llamk'aynin yachaynin hinaspapas may kawsay yachachiy kayninpas kamachiyman hinam kanan
4672	kamachi qillqan atin paqtay kamayuqkuna aqllayta hinaspapas imayna aqllasqa kayninkutapas
4675	hachawanqu kunawa hinallataq mayqin sapanchasqa hachawanqu p'inqachinapaqpas mañakunankum pachaq nisqamanta iskay chunka pichqayuq nisqa t'aqallanpas llapan rimana wasipi apullikunamanta
4676	pachak pichqa chunka kimsayuq ñiqin phakma
4678	paqtachay kamayuqkuna hinaspa llaqta amachaqikunapas manam suyup llaqta kawsayninpi ruraypi kayta atinkuchu hinaspapas mana llamk'ayninkuta sayachinkumanchu
4680	pachak pichqa chunka tawayuq ñiqin phakma
4682	hatun paqtay kamayuq aqllana wasiy rurayninmi
4684	huk churan llaqta rikusqan hinaspa imayna sumaq kawsayninta ñawparichispa paqtachay kamayuqkunata hinaspa llaqta amachaqikunata llapa imaynallam kaykunapi
4686	chay kamayuqkuna churay kanan pachakmanta iskay ñiqin puchu llapa aqllaq kamayuqkunamanta
4688	iskay sutinchay paqtay kamayuq hinaspa llaqta amachaqikunata sapanka qanchis wata llamk'ay kutipi rikukun
4690	mana llamk'aq qhqipaqkunaqa manañam hayk'appas paqtachay llamk'ayman kutiykumanñachu
4692	ichaqa sapa sutinchayqa sapapmi ima huch'anku rayku wikch'usqa kanankumanta
4694	kimsa ancha hanaq wasipi amachaq hatun kamayuqkunata hinaspa llaqta hatun amachaqita muchuchiy ancha hanaq wasi mañayniman otaq hatun llaqta amachaqikunap mañakuyninman hina muchuy churasqaqa manánñam atikunñachu hukmanta rikuchikuyta
4697	hachawanqu kunawa otaq sapanchasqa hachawanqu wikch'usqa kananmi
4698	tawa paqtachay kamayuq llaqta amachaqi kayninta qillqapi churaspa sapankamam rakiy
4700	pachak pichqa chunka pichqayuq ñiqin phakma
4702	paqtachap aqllap hatun wasi kamachiq kananpaqmi kamanchiyninman hina
4704	huk ancha hanaq amachaq huñunakuspanku pakapi aqllasqa
4706	iskay huk pakallapi aqllasqa llapan hatun llaqta amachaqikuna huñuypi
4708	kimsa huk pakallapi aqllasqa tukuy suyupi llamk'aq amachaqi wasipi kaqkunamanta
4710	tawa iskay pakallapi akllasqa kamayuq llamkaq wasikunapaq suyupi kaqkunamanta kamachiman hina
4712	pichqa huk pakallapi aqllasqa hatun yachay wasikunap apaqninpi
4714	suqta huk pakallapi aqllasqa llapan zapaqchasqa hatun yachay wasi kamachiq
4716	kay suyu paqtachakuq kamayuq aqllaykum isqunman yapakuy atikunanpaq hinaspa atikullantaqmi iskay kamayuqta yapaytapas ichaqa pakapi aqllasqallataqmi hinaspa chay aqllasqa runakunaqa llamk'ana wasikunapi kawsaqmi
4719	suyu kamachiqmi wischukuyninta qanchis chunka iskayniyuq kawsaypi uñinan ichaqa qipallanmantaqmi sichus sinchichasqa kanman chayqa
4720	suyu paqtachakuq kamayuqmi aqllasqa kanku suplentes nisqa amachaqikunawan kuska pichqa watapaqmi aqllasqa kanku
4722	pachak pichqa chunka suqtayuq ñiqin phakma
4724	suyu paqtachay kamayuq kanapaqmi kikin ancha hanaq amachaq aqllasqaman hinam ichaqa kallanmantaqmi tawa yupay pachak tawa chunka qanchisniyuq ñiqiman hina
4726	suyu paqtachay kamayuqmi kasqan kayniyuqkunam hinaspa allawyuqkunayuq hinaspapas kamayuq kayninman hina kasqan ruraykuna
4728	pachak pichqa chunka qanchisniyuq ñiqin phakma
4730	suyu paqtachay kamayuqkuna kuyusqan kankuman huch'allikusqanku rayku hinaspa rimana wasipi huñunayki ichaqa sichus pachak yupanamanta kimsa t'aqay apullikuna munayninpi
4733	pachak kimsa chunka kimsayuq ñiqin phakma
4735	hachawanqu kunawa kamachiqninmi atin rimana wasiman qillqapi mañakuyta hachawankukuna sinchichasqa kanankupaq
4737	sichus mana chaskisqa kanman chiyqa otaq p'inqachisqa kanman chaypas otaq ripunanpaq otaq suyu kamachiq kuyuchinman chiyqa ñak'ariymanmi yaykunku
4739	pachak kimsa chunka tawayuq ñiqin phakma
4742	pachak kimsa chunka ñiqin phakma
4743	suyu kamachiq atinmanmi rimana wasi qulluchiyta sichus hachawanqu kunawakunata iskay kutiña p'inqachinku utap sinchichayninkuta qichunchu chiyqa
4745	qulluchiq kamachiy ninan hayk'appaqmi wakmanta waqan musuq chiqllikuyman waqasqanta
4747	chay musuq chiqlluyqa tawa qatiq killapi huk chiqllukuyman mana huk chiqlluypaq p'unchawta kasqanta kuyuchispa
4749	manam rimana wasitaqa qulluchiyta atinkuchu watallaña kawsaynin kachkaptin rimana wasi qulluchisqa chiyqa pasaq huñunakuyninqa llamk'anallanmi ichaqa manam atikunchu qulluchiytaqa
4751	mana rimana wasiqa huk niray qulluchisqachu kanyta atin awqanakuy ukhupiqa hatun rimana wasi manam qulluchisqa kanamanchu
4753	pachak kimsa chunka pichqayuq ñiqin phakma
4755	musuq rimana wasi huñuyninpi atinmi hachawanqu kunawata p'inqachiyta otaq sinchichaynin quechwita ichaqa hachawanqu kunawa kamachiqnin rimana wasipi rimasqan qhipa
4757	kay tapukuypi suyu hatun kamayuqmi huch'uy kamachiy qayllanpi kamachin chay ruraymantataq pasaq huñusqaman willan allinta rikuspa hatun rimana wasiman chayananpaq llamk'ayman yaykuptin pacha
4759	pachak kimsa chunka suqtayuq niqi phakma
4761	sichus chiqllikuy mana rurakunmanchu kawsay p'unchawpi churasqapi chayqa qulluchisqa hatun rimana wasim huñuchun llapa allawkanwan hinaspa yapamanta qallarin rurayninta wikch'un musuq hachawanqu kunawata
4764	kimsa chunka punchaw ruraynin qallarisqanpim hachawanqu kamachiq rimana wasi huñunakuyman rin wakin hachawanqukuna kuska
4765	manam mayqin hurqusqa hachawanqupas atinchu kamayuq kayta kamachiy tukukunan cama
4767	rimana wasi hinapi aqllasqaqa churanakunmi mawk'a kaqman chaypim kachkallantaq pasaq huñunakuy hinaspapas llapa kamachiyta tukupan
4769	qanchis umalli
4771	zapaqchasqa kamachikuymanta
4773	pachak kimsa chunka qanchisniyuq niqi phakma
4775	suyu umalliqqa llapan hachawanqukunawan kamachinakuspa allin t'uqsiytaqa mit'allapi llapan suyunchikpaq otaq wakillapaqpas kamachikunami decreto nisqa kamachiyta ichaqa chay ruraymmmantaqa willakunam rimana wasiman otaq willay llanap comisiónmanpas kay kamachipim rurayta atinman
4777	huk emergencia nisqa pakupaku kaypi suyuqa llaqtappa taq kaynin tullmiptin hinallataq allin kawsay charwikuptin ima hukarikuypas kaptin suyunchikpa otaq ayllunchikpa allin kawsayninwan mana allin kaptin
4779	kay kaptinqa atinmi quechuita garantías constitucionales nisqata kaykunawan tupaqta qispiyta runawaqaychakuyninta wasin mana ayusqa kayninta huñunakuypaq qispiyta suyunchik ukhupi qispisqa purinanchiktapas iskay ñiqin nueve coma once hinaspa chunka kimsayuq t'aqaman hina hinallataq iskay chunka tawayuq apartado folio kasqan t'aqapi nisqamanpas
4781	manam hayk'appas pitapas wanananpaq suyunmanta qarqusqa kanamachu
4783	iskay estado de sitio nisqapi huk suyumanta runakuna suyunchikman winaykakamun chayqa mayqin runap garantía nisqan allawkan manam tatinmanchu nitaq qichusqachu chayta riqsichikuspa
4786	chaypim kamachiy musicayninta riqsichikun hinallataq aswan ñiqin rurayninnakunatapas
4787	manam tawa chunka pichqayuq aswan p'unchawqa kanmanchu chay estado de sitio nisqaqa
4789	estado de sitio nisqa kamachikuypiqa rimana wasin hunt'asqa allawkanwanmi huñunakun
4791	sichus aswan p'unchawkunaman mast'arikuyta monaman chayqa rimana wasip siminmanta rurakunan
4793	pusaq umalli
4795	paqtachay kallpanmanta
4797	pachak kimsa chunka pusaqniyuq ñiqin phakma
4799	paqtachakuy kallpaqa llaqtamantapuni paqarin hunt'akuntaqmi paqtachay wasikunapi ima huk nisqalla kuraqmanta sullk'ankama hatun kamay pirwaman hinaspa kamachikunaman hina
4801	llapa paqtay ruraypi huk mana kamay pirwaman kamachiy kaptinqa paqtay kamayuq hatun kamay pirwamanmi paqtachayninpaq churan
4803	pachak kimsa chunka isqunniyuq ñiqin phakma
4805	paqtachakuy kallpawan rurayninmi
4808	mañakuntaqmi sinchichakuyta
4809	huk hukllla kayninpi paylla kamachi hunt'achiy
4811	manam kanchu nitapmi kamanmanchu huk sapap paqtachakuqta ichaqa t'aqaspa vallakunap hinaspa arbitral nisqa kamaytaqa
4813	manam paqtachayta imayna kawsaypipas huk rurananpaq minkaspa kanmanchu
4815	iskay paqtachayqa mana pimanta muchukmi
4817	manam mayqin kamachiqpas challpukunmanchu nitaq tatichinmanchu
4819	manam paqtachay tukusqaqa yapamanta quqahirqunmanñachu nitaq rurakuchkaqtañapas sayachikunmanchu nitaq kamachiyninta muyuchikunmanchu nitaq sukaykachikunmanchu hunt'akuyninta
4821	kay kamachiykunaqa manam añaychakuy allawkawanqa tanqanakunchu
4823	kimsa paqtachay rurayni allin ruray kamachiykunaman hina
4825	manam pipas kamachiyman hina paqtachay wasimanta laquchisqa kanmanchu nitaq huk niray paqtachayman churasqa kanmanchu
4827	nitaq mana huch'an paqtachasqapaq paqtachay wasi kaptin imayna sitichasqa kaptinpas
4830	sichus rimana wasi mana huñunakunchu chiyqa suyu kamachiqmi apullikunata waqan sapanchasqa huñunakuyman
4831	tawa paqtachakuykunaqa rurakunan llapa runap qayllanpim kamachiyman hina
4833	llaqta kamayuq huchaq paqtachayqa utaq willakuy mastariyqa huchakunaqa hatun kamay pirwaman hinam llapa runapa qayllanpi rurakunan
4835	pichqa paqtachay imayna kaynintaqa qillqapimpunim churakunan ichaqa huch'uy kamachichakunaqa manam qillqapichu churakun ichataqmi chay churasqapiqa ima karachi qillqa nisqantam churakunan
4837	suqta aska sayaqnikunayuqplyuqmi paqtachaypi kamachikunaqa sutinmi instancias nisqa
4839	qanchis chaninchayqa kamachiyman hinapuni sichus mana huchawuq runa hap'isqa kanaman chiyqa chaninchasqan kanan kayqa manam pampachanchu mana allin paqtachay kamachikuqpa
4841	pusaq apusimi sichus mana allin kayninqa manam paqtachakuyqata tatichinmanchu hina rikukuptinqa hunt'achikunan allawkayuq tiqsi kamachiykunawan astawanqa suyunchik ukhupi samaykusqanwan
4843	isqun riqchakuy kamachikunawan manam hunt'achikuna t'ikachu llakichikuq otaq huch'alliq apisimiqa
4845	chunka manam pipas atinchu mana paqtachaykuywanqa huch'allisqa nitaq llakichisqa kanamanchu
4847	chunka hukniyuq ima apusimi iskayyaypipas llakischisqa kaqpaq otaq huch'allisqapaqpas payman sayapakuqtam hunt'achinan
4849	chunka iskayniyuq mana pipas paqtachasqa kanmanchu sichus manam qayllanpiqa
4852	pachak kimsa chunka hukniyuq ñiqin phakma
4853	chunka kimsayuq manam tukusqa paqtachasqaqa hukmanta kawsarichikunmanchu
4855	huch'a pampachay qunqay wiñaypaq sayachiy hinaspa qulluchiy tukuy hayratasan
4857	chunka tawayuq ima pachapiña paqtachaykuynin kachkaspapas amachachikuymanta hark'asqaqa kanamanchu
4859	llapa runan willasqa kanan simipi otaq rimayllapi ima huch'anpim waqasqa kasqanta
4861	allawkanmi huchallisqa pay kikin akllasqan amachaqinman rinaynin hinaspa yachachisqapas mayqin paqtachay kamayuq iskayninta willasqanmanta pacha
4863	chunka pichqayuq llapa runam willasqa kanan simipi utaq rimayllapi ima huchanpim waqyasqa kasqanta
4865	chunka suqtayuq paqtay wasipi llakichisqa mana paqtachay rurakunanpaq mana kaqniyuq runakunapaqtaq mana qullqimanta ichaqa huk runakunapaqpas kamachiman hina
4867	chunka qanchiniyuq suyu runap paqtachay kamayuq aqllay ruray yanapananpaq kamachiman hina
4869	chunka pusaqniyuq hatun kamayuq ima atipanakuypi yanapananpaq ichaqa paqtay kamayuq kayninman hina
4871	chunka isqunniyuq manam mana yachaq runa paqtachapqa kanamanchu sichus mana hatun kamay pirwaman hina mana kamachasqa kaqqa
4874	hachawanqu kunawa otaq mayqin hachawanqupas rinanmi rimana wasiman sichus anyanakuyman waqachisqa kanman chayqa
4875	iskay chunka lliw runa atiyninman paqtachay kamachikunata tukuy yuyayniwan rikuyta hinaspa t'aqwispa mana allin kaptinpas rimayta
4877	iskay chunka hukniyuq hayratasqakunapas wiskasqasqakunapas qhali kayta hinaspapas allin wiskhay wasikunapi apisqa kayninkuta
4879	iskay chunka iskayniyuq bizcasqa wasipi bizcasqakuna yapamanta yacharispa allin runa kayninman tukuyninman huñusqa runamasinwan kawsayninman
4881	pachak tawa chunkayuq ñiqin phakma
4883	wañuchikuy hayrataqa suyu piqita kayllapim churakun hawa llaqtakunawan maqanakuy kallaptin uku suyupi paqchay runawan kamachiman hina hinaspa hawa llaqtakunawan rimay qillqakunaman perú llaqta matisqa kasqanman hina
4885	pachak tawa chunka hunkniyuq ñiqin phakma
4887	paqtachakuy ancha hanaq wasin punchukaypiqa kamachikunam otaq qulluchikunanpas kamachikuyta apusiminwan sichus maqanakuy qallarikunman karqan hanaqpaqtay t'aqapi otaq kikin ancha hanaq wasipipas kamachiman hina
4889	atillantaqmi punchukaypi kamachiyta utap qulluchiytapas wallawisa paqtay kitikunapi icha pachak qanchisniyuq kimsa chunka ñiqin kamachiman hina
4891	pachak tawa chunka iskayniyuq ñiqin phakma
4893	aqllaypaq ancha hanaq wasin paqtayninkuna paqtay wasipi mana atikunchu rikuyta manallataq atikullantaqchu paqtachaypaq hatun wasi rurasqantapas rikuyta paqtachay kamayuq aqllasqankutapas hinaspa hurqusqankutapas otaq hap'isqankutapas
4896	anyanakuyqa qillqaypim mañakunam ichaqa pachak iskay chunka nisqamanta chunka kisqayuqllapas por ciento nisqa apullikunam rimana wasiman sayamuqkunamanta chay qillqataqa churananku
4897	pachak tawa chunka kimsayuq ñiqin phakma
4899	paqtachap kallpanpiqa kanmi paqtachay wasi paqtachay ruraqkuna paykunam suyupa sutin paqtachayta ruranku
4901	paqtachay wasikunaqa kanku ancha hanaq wasi hinaspa wakin paqtay wasikunapas ukhunpi kamachiyninman hina
4903	chunka tawa chunka tawayuq ñiqin phakma
4905	ancha hanaq wasip kamachiqninmi lapan paqtay wasikunap kamachiqnimi
4907	atún huñunaykuyninmi paqtachay ruray kamayuqkunataq aswan kamachiqninku
4909	pachak tawa chunka pichqayuq ñiqin
4911	paqtachay wasim churan hatun kamayuq wasiman hinaspataq rimana wasipi rikuchin qullqi mañakuyninta
4913	pachak tawa chunka suqtayuq ñiqin
4915	paqtachay kamayuq kayqa hayuymi huk ima llamk'aywan ichaqa hatun yachay wasipi yachachiyllapim llamk'aytaqa atinku
4918	allinsu waqillay kunan punchaw sumaqta kusi kusichalla asin asinchalla ñunqanchikqa maski imaña llakiña qaykaña kaptinpas kusisqa ambrosio willakamun a willakamun arí nimuwanmi wawqillanchik maximotam wayra siqaykachichkarqa altonta mamachallay mama chiqapchu chay hinaraqtaq wayrakunapas namuchkan wayramuchkan paranchikkunata wayra tustuspa qarquchkan tusustin wayra purichkan wayrari mamallay mama tustupastin arí
4919	arí wawqikuna paniykuna hinallataq botica natural corazón de jesus y productos maravi natur chay wasinchikpitaq imay mana hampikunata vendemuchkancku kunan pacha puririmuychik arí qamchu wiksa nanaywan kachkanki chunchul qipiwan aka kichkiwan impotencia sexual manachu ispakuspapas atinki mamachallay mama wañuytañachu qayakuchkanki amaña waqayñachu llakikuyñachu chaypaqmi kachakan kunanqa hampi vendena wasi andahuaylas suyunchikpi avenida perú taway pachak yupayllapi kay hospital andaluz qanalaw semáforo esquina chayllapi kachkan botica natural corazón de jesús arí wawqipaniykuna
4921	rimanaykipaq wawqipanikuna arí amaya kay wakinim equipos charchero puraminti qaqraqya qaqrallaña qarqaryamuchkan wawqiy panakuna chaypiqa ni kay artistakunapa takisqantapas uyarinkiñachu arí chaypaqmi kunan kachkan wawqipanikuna solución solución solución equipo sonido profesional maypi ninkitaq sonidos y luces velú wasinchikpi chaypim kachkan equipos sonidos mamachallay mama alquilakunaykipaq wawqipaniykuna arí kay suma sumaq aniversariokuna chayaykamuchkanña promoción chaykuna chayaykamuchkanña chaypi sumaq allin pasakunaykipaq
4923	sumaq aniversariokuna chayaykamuchkanña promoción chaykuna chayaykamuchkanña chaypi sumaq allin pasakunaykipaq wawqiy paniykuna yanapakuy na mañakuy yanapakuyninta equipos sonidos profesionalta aparqamusunki wawqichay profesor rengifo qupa condori arí paymi kachkan riki técnico electrónico paypapim kakuchkan equipo sonidoqa mamachallay cabalchanpi wawqiy panakuna mana chaypiqa allichaykuchkan imapas kay  qampachu televisor dvd autorradio icha laptop nisqanchu computadoraykichu filmadorachu imam wawqillay cámara fotografica chaychu puraminti
